english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
chat,chat,聊天；猫,orthographic_similar,0.00,0.96,medium,2,同形但核心义完全无关,llm_v2_human_reviewed,true,orthographic|daily-life|noun,ready,pending,informal conversation,cat,聊天；猫,We had a long chat after class.,Le chat dort sur le canapé.,我们课后聊了很久；那只猫睡在沙发上。,high
four,four,四；烤箱,orthographic_similar,0.00,0.98,high,5,短词同形且课堂干扰很强,llm_v2_human_reviewed,true,orthographic|kitchen|core,ready,pending,number after three,oven,四；烤箱,I need four plates for dinner.,Le pain est dans le four.,晚饭我需要四个盘子；面包在烤箱里。,high
mercy,merci,怜悯；谢谢,orthographic_similar,0.05,0.93,high,3,拼写极近但功能完全不同,llm_v2_human_reviewed,true,orthographic|daily-life|core,ready,pending,kindness shown to someone in distress,thank you,怜悯；谢谢,They asked for mercy after the fight.,Merci pour ton aide aujourd'hui.,打斗后他们请求怜悯；谢谢你今天的帮助。,high
poison,poisson,毒药；鱼,orthographic_similar,0.00,0.98,high,4,只差一个字母但意义完全相反,llm_v2_human_reviewed,true,orthographic|daily-life|food,ready,pending,substance that can kill or harm,fish,毒药；鱼,Keep the poison away from children.,Le poisson du marché est très frais.,要把毒药放在孩子够不到的地方；市场上的鱼很新鲜。,high
sale,salle,销售；房间,orthographic_similar,0.03,0.94,medium,3,词形接近但高频场景不同,llm_v2_human_reviewed,true,orthographic|shopping|school,ready,pending,event when goods are sold cheaply,room or hall,销售；房间,The store has a winter sale today.,La salle est pleine d'étudiants.,商店今天有冬季促销；房间里挤满了学生。,high
policy,police,政策；警察,orthographic_similar,0.04,0.92,medium,4,书写接近但社会语义完全错位,llm_v2_human_reviewed,true,orthographic|society|school,ready,pending,official set of rules,police force,政策；警察,The school changed its phone policy.,La police arrive très vite.,学校修改了手机政策；警察来得很快。,high
ancient,ancien,古代的；以前的,false_friend,0.12,0.90,high,4,英语古代义会误导法语以前义,llm_v2_human_reviewed,true,false-friend|school|adjective,ready,pending,very old from a distant past,former or previous,古代的；以前的,They studied ancient history at school.,C'est mon ancien voisin.,他们在学校学习古代史；他是我以前的邻居。,high
brave,brave,勇敢的；善良的,false_friend,0.14,0.88,medium,3,英语勇敢义会误导法语厚道人义,llm_v2_human_reviewed,true,false-friend|daily-life|adjective,ready,pending,showing courage,kind and good natured,勇敢的；善良的,The brave firefighter ran inside.,C'est un brave homme.,那位勇敢的消防员冲了进去；他是个善良的人。,high
cave,cave,洞穴；地窖,false_friend,0.10,0.92,high,4,同形但地点义完全错位,llm_v2_human_reviewed,true,false-friend|travel|noun,ready,pending,natural underground chamber,cellar or basement,洞穴；地窖,The children explored a dark cave.,Le vin reste dans la cave.,孩子们探索了一个黑暗的洞穴；葡萄酒放在地窖里。,high
balance,balance,平衡；秤,false_friend,0.22,0.83,medium,3,英语平衡义常误投到法语秤义,llm_v2_human_reviewed,true,false-friend|daily-life|noun,ready,pending,state of stability,weighing scale,平衡；秤,Yoga helps improve balance.,La balance affiche soixante kilos.,瑜伽有助于提高平衡能力；秤上显示六十公斤。,medium
confidence,confidence,信心；秘密谈话,false_friend,0.18,0.87,medium,4,同形词常在心理语境里误判,llm_v2_human_reviewed,true,false-friend|social|noun,ready,pending,belief in your own ability,private disclosure of a secret,信心；秘密谈话,Practice gave her more confidence.,Il m'a fait une confidence hier soir.,练习让她更有信心；他昨晚向我吐露了一个秘密。,medium
conductor,conducteur,指挥；司机,false_friend,0.17,0.86,medium,4,英语指挥义会误导法语司机义,llm_v2_human_reviewed,true,false-friend|travel|work,ready,pending,person who directs an orchestra,driver or operator of a vehicle,指挥；司机,The conductor raised his hands slowly.,Le conducteur du bus attend encore.,指挥慢慢举起了双手；公交车司机还在等。,medium
cry,crier,哭；喊叫,false_friend,0.08,0.93,high,4,英语哭泣义会误导法语喊叫义,llm_v2_human_reviewed,true,false-friend|daily-life|verb,ready,pending,to weep,to shout loudly,哭；喊叫,The baby may cry at night.,Il faut crier pour être entendu.,婴儿夜里可能会哭；要大声喊才会被听见。,high
delay,délai,延迟；期限,false_friend,0.09,0.94,high,4,英语拖延义会误导法语期限义,llm_v2_human_reviewed,true,false-friend|work|noun,ready,pending,a wait or postponement,time limit or deadline,延迟；期限,The flight left after a long delay.,Le délai pour payer finit demain.,航班在长时间延误后起飞；付款期限明天结束。,high
devise,devise,设计出；座右铭,false_friend,0.05,0.95,high,5,同形高风险词对,llm_v2_human_reviewed,true,false-friend|advanced|verb,ready,pending,to invent or plan,motto or slogan,设计出；座右铭,They devised a better study plan.,La devise du club est simple.,他们设计出了更好的学习计划；这个社团的座右铭很简单。,high
divert,divertir,转移；娱乐,false_friend,0.12,0.88,medium,4,英语转移义会误导法语娱乐义,llm_v2_human_reviewed,true,false-friend|daily-life|verb,ready,pending,to turn something aside,to amuse,转移；娱乐,The teacher tried to divert attention.,Ce film va nous divertir ce soir.,老师试图转移注意力；这部电影今晚会让我们开心。,medium
editor,éditeur,编辑；出版社负责人,false_friend,0.16,0.87,medium,4,英语编辑义易误投到法语出版义,llm_v2_human_reviewed,true,false-friend|media|work,ready,pending,person who prepares text for publication,publisher,编辑；出版社负责人,The editor checked the article at noon.,L'éditeur publie surtout des essais.,编辑在中午检查了文章；这家出版社主要出版随笔。,medium
evidence,évidence,证据；显而易见,false_friend,0.10,0.92,high,4,英语证据义会误导法语明显义,llm_v2_human_reviewed,true,false-friend|school|noun,ready,pending,facts that prove something,obviousness or self evident fact,证据；显而易见,The police found clear evidence.,Cette réponse est une évidence.,警方找到了明确证据；这个答案显而易见。,high
experience,expérimenter,经历；做实验,false_friend,0.11,0.90,medium,4,英语经历义会误导法语试验义,llm_v2_human_reviewed,true,false-friend|school|verb,ready,pending,to live through something,to test or experiment,经历；做实验,Children experience fear in new places.,Les élèves expérimentent une nouvelle méthode.,孩子们在陌生地方会经历恐惧；学生们在试验一种新方法。,medium
familiar,familier,熟悉的；随便的,false_friend,0.15,0.86,medium,3,英语熟悉义与法语随意义错位,llm_v2_human_reviewed,true,false-friend|social|adjective,ready,pending,well known to someone,informal or overly casual,熟悉的；随便的,That song sounds familiar to me.,Son ton est trop familier avec le directeur.,那首歌我听着很熟悉；他对主任说话太随便。,medium
gentle,gentil,温柔的；友善的,false_friend,0.20,0.82,medium,3,英语温和义会误导法语友善义,llm_v2_human_reviewed,true,false-friend|family|adjective,ready,pending,soft and mild in manner,kind and nice,温柔的；友善的,Be gentle with the baby.,La voisine est très gentille avec nous.,对婴儿要温柔；邻居对我们很友善。,medium
habit,habit,习惯；服装,false_friend,0.06,0.96,high,5,同形高风险词对,llm_v2_human_reviewed,true,false-friend|daily-life|noun,ready,pending,regular behavior,formal clothing,习惯；服装,Reading before bed is a good habit.,Cet habit noir est élégant.,睡前阅读是个好习惯；这套黑色服装很优雅。,high
large,large,大的；宽的,false_friend,0.13,0.89,high,4,英语大的义会误导法语宽的义,llm_v2_human_reviewed,true,false-friend|daily-life|adjective,ready,pending,big in size,wide,大的；宽的,They live in a large house.,Cette rue est très large.,他们住在一所很大的房子里；这条街很宽。,high
librarian,libraire,图书管理员；书商,false_friend,0.07,0.95,high,5,教学中非常典型的名词假朋友,llm_v2_human_reviewed,true,false-friend|school|noun,ready,pending,person who works in a library,bookseller,图书管理员；书商,The librarian helped me find the atlas.,Le libraire recommande ce roman.,图书管理员帮我找到了地图册；书商推荐了这本小说。,high
patron,patron,顾客；老板,false_friend,0.10,0.91,high,4,英语顾客义会误导法语老板义,llm_v2_human_reviewed,true,false-friend|work|noun,ready,pending,customer of a shop or restaurant,boss or employer,顾客；老板,Every patron received a free drink.,Le patron arrive avant tout le monde.,每位顾客都收到了一杯免费饮料；老板比所有人都到得早。,high
rude,rude,粗鲁的；严酷的,false_friend,0.14,0.88,medium,3,英语粗鲁义会误导法语艰苦义,llm_v2_human_reviewed,true,false-friend|adjective|daily-life,ready,pending,impolite,rough or harsh,粗鲁的；严酷的,It was rude to interrupt her.,L'hiver a été rude cette année.,打断她很粗鲁；今年冬天很严酷。,medium
store,store,商店；百叶窗,false_friend,0.04,0.97,high,5,同形高风险词对,llm_v2_human_reviewed,true,false-friend|shopping|noun,ready,pending,place where goods are sold,blind or window shade,商店；百叶窗,The store closes at nine tonight.,Le store bloque le soleil.,商店今晚九点关门；百叶窗挡住了太阳。,high
surname,surnom,姓；绰号,false_friend,0.03,0.97,high,5,词形相近但身份称谓义完全不同,llm_v2_human_reviewed,true,false-friend|school|noun,ready,pending,family name,nickname,姓；绰号,Please write your surname here.,Son surnom vient de son rire.,请在这里写下你的姓；他的绰号来自他的笑声。,high
tentative,tentative,暂定的；尝试,false_friend,0.05,0.95,high,5,英语犹豫义会误导法语尝试义,llm_v2_human_reviewed,true,false-friend|advanced|adjective,ready,pending,not fully certain or fixed,attempt,暂定的；尝试,We made a tentative plan for Saturday.,Sa tentative a presque réussi.,我们为周六做了一个暂定计划；他的尝试差点成功。,high
tutor,tuteur,家教；监护人,false_friend,0.12,0.90,high,4,英语辅导义会误导法语监护义,llm_v2_human_reviewed,true,false-friend|education|noun,ready,pending,private teacher,legal guardian,家教；监护人,My math tutor comes on Tuesday.,Son tuteur a signé le document.,我的数学家教周二来；他的监护人签了文件。,high
venue,venue,举办地点；到来,false_friend,0.09,0.93,high,4,英语场地义会误导法语到来义,llm_v2_human_reviewed,true,false-friend|event|noun,ready,pending,place where an event happens,arrival or coming,举办地点；到来,The venue changed after lunch.,Sa venue a surpris tout le monde.,午饭后活动地点改了；她的到来让所有人都很惊讶。,high
commodity,commodité,商品；便利设施,false_friend,0.10,0.91,medium,5,英语商品义会误导法语便利义,llm_v2_human_reviewed,true,false-friend|work|noun,ready,pending,basic product that is traded,convenience or amenity,商品；便利设施,Oil is a major commodity.,Cet appartement offre peu de commodités.,石油是一种重要商品；这套公寓几乎没有便利设施。,medium
competition,compétition,竞争；比赛,false_friend,0.23,0.82,medium,3,英语竞争义常误投到法语体育比赛义,llm_v2_human_reviewed,true,false-friend|sport|noun,ready,pending,rivalry between people or companies,organized contest or sports event,竞争；比赛,Competition in this market is intense.,La compétition commence demain matin.,这个市场的竞争很激烈；比赛明早开始。,medium
notice,notice,通知；说明书,false_friend,0.18,0.85,medium,3,英语通知义会误导法语说明书义,llm_v2_human_reviewed,true,false-friend|daily-life|noun,ready,pending,short formal announcement,instruction leaflet,通知；说明书,We received a notice from school.,Lis la notice avant de monter l'étagère.,我们收到了学校的通知；组装架子前先看说明书。,medium
manifestation,manifestation,表现；示威,false_friend,0.14,0.89,high,4,英语表现义会误导法语游行义,llm_v2_human_reviewed,true,false-friend|society|noun,ready,pending,visible sign of something,public protest,表现；示威,A cough can be a manifestation of stress.,La manifestation bloque le centre ville.,咳嗽可能是压力的一种表现；示威堵住了市中心。,high
agenda,agenda,议程；记事本,false_friend,0.20,0.84,medium,5,课堂和会议语境里很容易混淆,llm_v2_human_reviewed,true,false-friend|school|work,ready,pending,list of items to discuss,diary or planner,议程；记事本,The first agenda item is homework.,J'ai noté le rendez vous dans mon agenda.,议程的第一项是作业；我把约会记在了记事本里。,medium
conception,conception,概念形成；受孕,false_friend,0.12,0.88,medium,4,英语设计构想义会误导法语受孕义,llm_v2_human_reviewed,true,false-friend|advanced|noun,ready,pending,forming of an idea or plan,fertilization or becoming pregnant,概念形成；受孕,The conception of the project took months.,La conception date du printemps.,这个项目的构思花了几个月；受孕发生在春天。,medium
rest,rester,休息；停留,false_friend,0.08,0.92,high,4,英语休息义会误导法语停留义,llm_v2_human_reviewed,true,false-friend|daily-life|verb,ready,pending,to relax,to stay or remain,休息；停留,You should rest after lunch.,Nous restons à la maison ce soir.,午饭后你应该休息；我们今晚待在家里。,high
alliance,alliance,联盟；婚戒,partial_cognate,0.52,0.48,medium,2,共享联合义但法语常见婚戒义,llm_v2_human_reviewed,true,partial-cognate|society|noun,ready,pending,formal partnership between groups,partnership or wedding ring,联盟；婚戒,The alliance lasted for three years.,Son alliance est en or simple.,这个联盟持续了三年；她的婚戒是简单的金戒指。,medium
argument,argument,争论；论据,partial_cognate,0.46,0.62,medium,3,共享论证概念但日常高频义不同,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,angry disagreement or reason,reason used to support an idea,争论；论据,Their argument lasted all evening.,Ton argument est convaincant.,他们的争论持续了一整个晚上；你的论据很有说服力。,medium
command,commande,命令；订单,partial_cognate,0.42,0.64,medium,3,共享控制感但法语高频义是订单,llm_v2_human_reviewed,true,partial-cognate|work|noun,ready,pending,order given by authority,order placed for goods,命令；订单,The officer gave a clear command.,La commande arrive demain matin.,军官下达了明确命令；订单明早到达。,medium
costume,costume,戏服；西装,partial_cognate,0.49,0.58,medium,3,共享服装义但常用场景不同,llm_v2_human_reviewed,true,partial-cognate|daily-life|noun,ready,pending,special clothes for a play or party,suit or formal outfit,戏服；西装,The child wore a pirate costume.,Il a acheté un costume pour l'entretien.,孩子穿着海盗戏服；他为面试买了一套西装。,medium
credit,crédit,信用；学分；贷款,partial_cognate,0.58,0.44,medium,2,共享信用义但法语常连到贷款,llm_v2_human_reviewed,true,partial-cognate|school|finance,ready,pending,praise or borrowed money or school unit,loan or academic credit,信用；学分；贷款,She got full credit for the idea.,Le crédit sera remboursé sur deux ans.,她因这个主意获得了全部认可；这笔贷款将在两年内还清。,medium
edition,édition,版本；版次,partial_cognate,0.62,0.39,low,2,共享版本义但法语出版色彩更强,llm_v2_human_reviewed,true,partial-cognate|media|noun,ready,pending,particular version of a text,published edition,版本；版次,This edition includes new photos.,Cette édition sort en mai.,这个版本加入了新照片；这一版在五月出版。,medium
emotion,émotion,情绪；激动,partial_cognate,0.54,0.46,medium,3,共享情感义但法语更偏强烈情绪,llm_v2_human_reviewed,true,partial-cognate|family|noun,ready,pending,feeling such as joy or fear,strong feeling or emotion,情绪；激动,Music can trigger deep emotion.,Elle parle avec émotion de son père.,音乐可以唤起深层情绪；她动情地谈起父亲。,medium
execution,exécution,执行；处决,partial_cognate,0.38,0.70,high,4,共享执行义但法语常见处决义很强,llm_v2_human_reviewed,true,partial-cognate|advanced|noun,ready,pending,carrying out of a plan,carrying out or death penalty execution,执行；处决,The execution of the plan was smooth.,Le roman décrit une exécution publique.,计划执行得很顺利；这部小说描写了一次公开处决。,high
exposition,exposition,说明；展览,partial_cognate,0.44,0.62,medium,3,共享展示义但法语高频是展览,llm_v2_human_reviewed,true,partial-cognate|culture|noun,ready,pending,clear explanation of an idea,exhibition,说明；展览,The teacher praised his exposition of the poem.,L'exposition ouvre samedi.,老师表扬了他对诗歌的阐释；展览周六开幕。,medium
formation,formation,形成；培训,partial_cognate,0.40,0.66,medium,3,共享形成义但法语常用作培训,llm_v2_human_reviewed,true,partial-cognate|work|noun,ready,pending,process of being formed,training course,形成；培训,Cloud formation began after noon.,Elle suit une formation en ligne.,中午后开始形成云层；她在上一个线上培训课程。,medium
instruction,instruction,指示；说明；调查,partial_cognate,0.50,0.52,medium,3,共享指示义但法语还有司法调查义,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,detailed direction or teaching,instruction or judicial investigation,指示；说明；调查,Read the instruction before the test.,L'instruction avance lentement.,考试前先读说明；调查进展得很慢。,medium
legend,légende,传说；图注,partial_cognate,0.45,0.61,medium,2,共享说明文本义但法语常指图注,llm_v2_human_reviewed,true,partial-cognate|media|noun,ready,pending,traditional story or famous person,caption or legend,传说；图注,The old legend still interests children.,Ajoute une légende sous la photo.,那个古老传说仍然吸引孩子；请在照片下加上图注。,medium
mention,mention,提到；评语,partial_cognate,0.43,0.60,medium,3,共享提及义但法语常见等级评语义,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,brief reference,mention or distinction on a diploma,提到；评语,Her speech made no mention of money.,Il a obtenu la mention bien.,她的演讲没有提到钱；他拿到了优良评语。,medium
occasion,occasion,场合；机会；二手货,partial_cognate,0.47,0.57,medium,3,共享机会义但法语常见二手义,llm_v2_human_reviewed,true,partial-cognate|daily-life|noun,ready,pending,special event or opportunity,opportunity or second hand item,场合；机会；二手货,Birthdays are a happy occasion.,Cette voiture est une occasion intéressante.,生日是令人开心的场合；这辆车是一笔不错的二手交易。,medium
operation,opération,操作；手术,partial_cognate,0.55,0.49,medium,3,共享操作义但法语医疗义更常见,llm_v2_human_reviewed,true,partial-cognate|health|noun,ready,pending,process or action,operation or surgery,操作；手术,The washing machine operation is simple.,Son opération a duré deux heures.,洗衣机的操作很简单；她的手术持续了两个小时。,medium
passage,passage,段落；通道,partial_cognate,0.48,0.58,medium,3,共享经过义但法语常指通道,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,short section of text,corridor or passage,段落；通道,Read the passage aloud.,Le passage reste fermé ce matin.,请把这段文字朗读出来；这条通道今天早上仍然关闭。,medium
pension,pension,养老金；寄宿学校,partial_cognate,0.39,0.68,medium,4,共享定期给付义但法语常见寄宿义,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,regular payment after retirement,boarding school or boarding house,养老金；寄宿学校,Her pension covers the rent.,Son fils est en pension cette année.,她的养老金够付房租；她儿子今年住寄宿学校。,medium
phrase,phrase,短语；句子,partial_cognate,0.51,0.50,medium,2,共享语言单位义但范围不同,llm_v2_human_reviewed,true,partial-cognate|language|noun,ready,pending,group of words without full sentence force,sentence,短语；句子,Write the phrase on the board.,Cette phrase est trop longue.,把这个短语写到黑板上；这个句子太长了。,medium
proposition,proposition,提议；命题,partial_cognate,0.57,0.48,medium,3,共享提出义但法语还有命题义,llm_v2_human_reviewed,true,partial-cognate|school|noun,ready,pending,suggestion or formal offer,proposal or clause,提议；命题,We discussed her proposition after class.,La première proposition est fausse.,我们课后讨论了她的提议；第一条命题是错的。,medium
reservation,réservation,预订；保留意见,partial_cognate,0.44,0.63,medium,3,共享保留义但法语高频是预订,llm_v2_human_reviewed,true,partial-cognate|travel|noun,ready,pending,booking or doubt,booking,预订；保留意见,I have one reservation about the plan.,La réservation est confirmée pour vendredi.,我对这个计划有一点保留意见；周五的预订已经确认。,medium
sensation,sensation,感觉；轰动,partial_cognate,0.49,0.56,medium,3,共享感受义但法语媒体轰动义更强,llm_v2_human_reviewed,true,partial-cognate|media|noun,ready,pending,physical feeling,feeling or public sensation,感觉；轰动,The cold sensation disappeared quickly.,Ce film fait sensation partout.,那种冰冷的感觉很快消失了；这部电影到处引起轰动。,medium
volume,volume,音量；册；体积,partial_cognate,0.55,0.47,medium,2,共享体积义但高频用法不同,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,loudness level or amount of space,book volume or size,音量；册；体积,Please lower the volume now.,J'ai acheté le deuxième volume.,现在请把音量调低；我买了第二册。,medium
relation,relation,关系；叙述,partial_cognate,0.41,0.64,medium,4,共享联系义但法语还有叙述义,llm_v2_human_reviewed,true,partial-cognate|social|noun,ready,pending,connection between people or things,relationship or account of events,关系；叙述,Trust is central to any relation.,Sa relation des faits était précise.,信任对任何关系都很重要；他对事情的叙述很准确。,medium
medicine,médecine,药物；医学,partial_cognate,0.36,0.69,medium,4,共享医疗领域但指称层级不同,llm_v2_human_reviewed,true,partial-cognate|health|noun,ready,pending,drug used to treat illness,medical science and practice,药物；医学,The child took medicine after dinner.,Elle étudie la médecine à Lyon.,孩子晚饭后吃了药；她在里昂学习医学。,medium
