english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
prescription,prescription,处方；时效期,partial_cognate,0.44,0.68,medium,4,共享法律规定义 但法语常指诉讼时效,llm_v2_human_reviewed,true,partial-cognate|medical|law,ready,pending,written order from a doctor for medicine,ordonnance ou délai légal après lequel une action n'est plus possible,处方；时效期,The pharmacist checked the prescription carefully.,La prescription a expiré dans cette affaire.,药剂师仔细核对了处方；这个案件已经过了时效期。,high
dose,dose,剂量,cognate,0.96,0.05,high,1,医疗基础词 完全重合,llm_v2_human_reviewed,true,cognate|medical|noun,ready,pending,measured amount of medicine,quantité précise d'un médicament,剂量,Take one dose after dinner.,Prenez une dose après le dîner.,晚饭后服用一剂；晚饭后请服用一剂。,high
jury,jury,陪审团；评审团,cognate,0.97,0.05,high,1,法律和比赛场景都对应稳定,llm_v2_human_reviewed,true,cognate|law|noun,ready,pending,group that judges a case or contest,groupe chargé de juger,陪审团；评审团,The jury listened in silence.,Le jury a délibéré pendant une heure.,陪审团安静地听完了；评审团讨论了一小时。,high
prison,prison,监狱,cognate,0.96,0.06,high,1,法律高频词 完全重合,llm_v2_human_reviewed,true,cognate|law|noun,ready,pending,place where criminals are kept,lieu où sont enfermés les condamnés,监狱,He wrote to his brother in prison.,Il écrit à son frère en prison.,他给狱中的哥哥写信；他给在监狱里的兄弟写信。,high
tribunal,tribunal,法庭；审裁机构,cognate,0.95,0.07,high,2,法律机构义稳定对应,llm_v2_human_reviewed,true,cognate|law|noun,ready,pending,court of law or formal panel,juridiction ou organe de jugement,法庭；审裁机构,The tribunal will hear the case tomorrow.,Le tribunal examinera l'affaire demain.,法庭明天审理这个案件；审裁机构明天会审这个案子。,high
victim,victime,受害者,cognate,0.94,0.09,high,2,法律和医疗报道中都常见,llm_v2_human_reviewed,true,cognate|law|medical,ready,pending,person harmed by a crime or event,personne qui subit un dommage,受害者,The victim called for help immediately.,La victime a demandé de l'aide tout de suite.,受害者立刻求助；受害人马上求助。,high
sentence,sentence,句子；判决,false_friend,0.11,0.91,high,5,课堂常见英语义会误导法律法语义,llm_v2_human_reviewed,true,false-friend|law|noun,ready,pending,set of words that expresses a complete idea,décision prononcée par un juge,句子；判决,Write one sentence with the new word.,Le juge rendra sa sentence demain.,用新单词写一个句子；法官明天会作出判决。,high
crime,crime,犯罪；罪行,cognate,0.93,0.10,high,2,法律高频基础词稳定一致,llm_v2_human_reviewed,true,cognate|law|noun,ready,pending,illegal act punished by law,acte puni par la loi,犯罪；罪行,The crime shocked the whole town.,Ce crime a choqué toute la ville.,这起犯罪震惊了全城；这起罪行震惊了整座城市。,high
court,court,法庭；短的,orthographic_similar,0.05,0.96,high,5,同形高频词 在法律和日常形容词场景完全错位,llm_v2_human_reviewed,true,orthographic|law|adjective,ready,pending,place where legal cases are heard,qui n'est pas long,法庭；短的,The court will hear the appeal tomorrow.,Ce texte est trop court pour l'examen.,法庭明天审理上诉；这段文字对考试来说太短。,high
analysis,analyse,分析,cognate,0.95,0.08,high,2,学术和科学语境高度重合,llm_v2_human_reviewed,true,cognate|science|academic,ready,pending,detailed study of something,étude détaillée d'un phénomène,分析,Our analysis of the data is complete.,Notre analyse des données est terminée.,我们对数据的分析已经完成；我们已经完成了数据分析。,high
formula,formule,公式；固定说法,partial_cognate,0.48,0.60,medium,3,英语科学义高频 法语还常指套话,llm_v2_human_reviewed,true,partial-cognate|science|academic,ready,pending,mathematical rule or expression,expression fixe ou formule scientifique,公式；固定说法,Use this formula to solve the problem.,Sa formule de politesse était très brève.,用这个公式解题；他的礼貌套话很简短。,high
hypothesis,hypothèse,假设,cognate,0.94,0.09,high,3,科学推理场景稳定对应,llm_v2_human_reviewed,true,cognate|science|academic,ready,pending,idea proposed for testing,proposition qu'on cherche à vérifier,假设,The team tested the hypothesis twice.,L'équipe a vérifié l'hypothèse deux fois.,团队把这个假设检验了两次；团队两次验证了这个假设。,high
laboratory,laboratoire,实验室,cognate,0.96,0.06,high,2,科学教学基础词 完全重合,llm_v2_human_reviewed,true,cognate|science|academic,ready,pending,place for scientific experiments,lieu où l'on fait des expériences scientifiques,实验室,Students must wear gloves in the laboratory.,Les étudiants doivent porter des gants au laboratoire.,学生在实验室里必须戴手套；学生在实验室里必须戴手套。,high
method,méthode,方法,cognate,0.93,0.10,high,2,学术写作和课堂中都高频,llm_v2_human_reviewed,true,cognate|academic|classroom,ready,pending,way of doing something systematically,manière organisée de faire quelque chose,方法,This method saves time in class.,Cette méthode fait gagner du temps en cours.,这种方法在课堂上能节省时间；这个方法上课时能省时。,high
molecule,molécule,分子,cognate,0.95,0.07,high,3,科学术语稳定对应,llm_v2_human_reviewed,true,cognate|science|noun,ready,pending,smallest unit of a chemical substance,plus petite unité d'une substance chimique,分子,This molecule has two hydrogen atoms.,Cette molécule contient deux atomes d'hydrogène.,这个分子含有两个氢原子；这个分子里有两个氢原子。,high
research,recherche,研究；查找,partial_cognate,0.57,0.42,medium,3,英语更偏学术研究 法语还常指寻找,llm_v2_human_reviewed,true,partial-cognate|academic|work,ready,pending,careful scientific study,étude ou action de chercher,研究；查找,She does research on language learning.,La recherche du dossier a pris une heure.,她研究语言学习；查找这份档案花了一小时。,high
statistics,statistique,统计学；统计数据,partial_cognate,0.63,0.37,medium,3,共享学科义 但法语单数常指统计数据,llm_v2_human_reviewed,true,partial-cognate|science|academic,ready,pending,science of collecting and studying data,données chiffrées ou science statistique,统计学；统计数据,Statistics is hard for some students.,Cette statistique montre une baisse nette.,有些学生觉得统计学很难；这项统计数据显示明显下降。,high
technology,technologie,技术；科技,partial_cognate,0.68,0.31,medium,2,共享科技义 但法语还常指工艺学,llm_v2_human_reviewed,true,partial-cognate|technology|science,ready,pending,use of scientific knowledge in tools and systems,ensemble des techniques ou science des procédés,技术；科技,New technology changed the classroom quickly.,La technologie transforme aussi l'industrie.,新技术很快改变了课堂；科技也在改变工业。,high
theory,théorie,理论,cognate,0.94,0.09,high,2,学术基础词 对应稳定,llm_v2_human_reviewed,true,cognate|academic|noun,ready,pending,set of ideas that explains something,ensemble d'idées qui explique un phénomène,理论,The theory explains the result well.,La théorie explique bien le résultat.,这个理论很好地解释了结果；这套理论能够清楚解释结果。,high
