"priority","risk_score","item_code","question_type","word_id","french_word","chinese_gloss","source_flags","false_friends_page_evidence","original_source_claim","applied_false_claim","review_rationale","false_friends_pdf_page","tem4_pdf_page","pedagogic_decision","reviewer_notes"
"CRITICAL","4","FF4Q-0203","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0203","issue","出口; 出路; 紧急出口; 结果","TRUE_FALSE_TEMPLATE_FALLBACK","中部；issue 可指结果，也常为字面出口、出路；紧急出口为 issue de secours，期号为 numéro。","问题; 结果; 发行物","度; 台阶","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","107","157","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0211","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0211","objectif","目标; 相机镜头","TRUE_FALSE_TEMPLATE_FALLBACK","下半部；objectif 指目标，也指相机镜头。","目标; 客观的","消费; 饮酒","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","130","159","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0223","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0223","combiner","结合; 设法; 耍手段","TRUE_FALSE_TEMPLATE_FALLBACK","上部；combiner to combine, familiar contrive/wangle/scheme。","结合","会议; 新闻发布会; 讲座","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","40","168","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0243","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0243","rumeur","谣言; 低沉噪声","TRUE_FALSE_TEMPLATE_FALLBACK","中部；rumeur 为谣言，也可为低沉噪声。","谣言","品种; 血统","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","171","186","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0251","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0251","hexagone","六边形; 法国本土","TRUE_FALSE_TEMPLATE_FALLBACK","上部；hexagone 为 hexagon，也因轮廓形状指法国。","六边形","可能的; 潜在的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","96","193","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0255","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0255","dragon","龙; 骑兵","TRUE_FALSE_TEMPLATE_FALLBACK","上部；dragon Both dragon and dragoon (military)。","龙","违反; 强奸; 非法侵入","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","67","196","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0259","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0259","tourner","转动; 拍摄; 表演","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；电影语境还可指拍摄或出演；转身为 se retourner。","转动; 轮流","碰撞; 敲击; 轻响; 特价","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","190","199","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0263","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0263","fort","堡垒; 强项; 严冬; 强壮的人","TRUE_FALSE_TEMPLATE_FALLBACK","中部；fort 为 fort/stronghold，且有冬深、强项和强壮之人等义。","堡垒","昏暗的; 忧郁的; 愚蠢透顶的（口语）","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","85","201","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0267","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0267","pardonner","宽恕; 原谅; 致命","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；pardonner 为原谅；qui ne pardonne pas 可指致命、不可宽恕。","原谅","新鲜的; 凉爽的; 清脆的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","136","206","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0275","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0275","grave","严重的; 低沉的; 最严重的","TRUE_FALSE_TEMPLATE_FALLBACK","上部；grave 为 grave/serious，voix grave 指低沉嗓音，Nouveau Petit Larousse 释为最严重的女性名词。","坟墓; 严重的","依赖; 隶属; 悬挂取下","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","93","209","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0299","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0299","presser","压; 催促","TRUE_FALSE_TEMPLATE_FALLBACK","中部粗体词头；presser 为 press，也指催促。","压; 新闻界","保护; 禁止","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","151","237","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0307","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0307","fortune","命运; 机会; 财富; 临时凑成的物品","TRUE_FALSE_TEMPLATE_FALLBACK","中部；fortune 可为 fortune/chance/wealth；de fortune 指临时拼凑，bonne aventure 为 fortune-telling。","财富; 运气","正式通知; 笔记; 乐音; 成绩单; 账单","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","85","243","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0311","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0311","rampe","坡道; 扶手; 栏杆; 舞台脚灯","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；rampe 为坡道、扶手/栏杆，也可为舞台脚灯。","坡道; 暴涨","认出; 承认; 确认","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","158","245","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0323","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0323","saisir","抓住; 理解; 提交","TRUE_FALSE_TEMPLATE_FALLBACK","中部；可指理解，也有移交警方义。","抓住","物理学","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","172","253","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0324","SHORT_TEXT","LEXI_BRIDGE_FF4-0324","physique","物理学","SOURCE_MEANINGS_EQUAL","上部粗体词头；physique（阴性）为 physics；physique（阳性）另指体格。","","","The two source-derived meaning fields are identical after punctuation normalization. Confirm whether this record belongs in a false-friends instrument.","143","255","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0339","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0339","quitter","离开","TRUE_FALSE_TEMPLATE_FALLBACK","页末；quitter 偶为 quit，通常为离开；to quit=abandonner。","离开; 停止","烟囱; 漏斗; 壁炉; 壁炉架","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","156","262","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0351","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0351","inciter","煽动; 鼓励; 诱惑","TRUE_FALSE_TEMPLATE_FALLBACK","中部；inciter 为 incite，也指 encourage/tempt。","煽动","推; 生长; 发出（哭喊）","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","100","268","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0371","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0371","recommander","推荐; 挂号（信件）","TRUE_FALSE_TEMPLATE_FALLBACK","上部；recommander 为推荐，也指把信件等挂号。","推荐","请求; 恳求; 申请; 争取","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","161","292","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0387","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0387","ravi","欣喜的; 高兴的","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；ravi 通常为欣喜的；ravished=violé/enlevé。","欣喜的; 被掳走的","无用的; 徒劳的; 无意义的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","159","317","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0398","FILL_BLANK","LEXI_BRIDGE_FF4-0398","revenu","收入","SOURCE_MEANINGS_EQUAL","页末；revenu 可为 revenue，但常具体指收入。","","","The two source-derived meaning fields are identical after punctuation normalization. Confirm whether this record belongs in a false-friends instrument.","167","324","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0403","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0403","quai","码头; 河岸; 站台","TRUE_FALSE_TEMPLATE_FALLBACK","Q 节页首；quai 指港口码头、河岸或火车站台。","码头","给人深刻印象的; 令人不安的; 令人震撼的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","156","326","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0407","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0407","terme","术语; 期限; 界限; 季度","TRUE_FALSE_TEMPLATE_FALLBACK","上部；terme 也指期限、界限和季度，学期为 trimestre。","术语; 学期","谴责; 封死（门窗）","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","188","335","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0411","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0411","restaurer","修复; 使恢复精力（食物）","TRUE_FALSE_TEMPLATE_FALLBACK","中部；restaurer 为修复，也指食物使人恢复精力；se restaurer=进食。","修复; 恢复","雇用; 典当; 约束; 入伍; 驶入","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","166","337","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0415","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0415","oignon","洋葱; 球根; 脚趾鸡眼","TRUE_FALSE_TEMPLATE_FALLBACK","中部；oignon 为洋葱，也用于俗语、指球根或脚趾鸡眼。","洋葱","指出; 报告; 标示","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","132","339","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0423","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0423","patient","病人; 接受治疗者","TRUE_FALSE_TEMPLATE_FALLBACK","中部；patient 通常指接受医生或牙医治疗的病人；其他 patient=malade/client。","病人; 耐心的","峡谷; 喉咙; 危险地带","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","139","349","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0427","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0427","flamme","火焰; 爱情; 激情","TRUE_FALSE_TEMPLATE_FALLBACK","中部；flamme 为 flame，古典语境指 love，也指 passion/intensity of feeling。","火焰","粗糙的; 严酷的; 强硬的; 粗鲁的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","82","352","PENDING_HUMAN_REVIEW",""
